date,produit,region,prix_fcfa_kg,volume_kg
2019,2019-01,10/01/2019,Riz Importé Parfumé,Tambacounda
2019,2019-01,10/01/2019,Riz,Diourbel
2019,2019-01,10/01/2019,Riz,Kaolack
2019,2019-01,09/01/2019,Mil,Ourossogui
2019,2019-01,09/01/2019,Mil,Touba
2019,2019-01,09/01/2019,Mil,Sédhiou
2019,2019-01,09/01/2019,Sorgho,Ourossogui
2019,2019-01,09/01/2019,Sorgho,Touba
2019,2019-01,09/01/2019,Maïs,Touba
2019,2019-01,09/01/2019,Maïs,Sédhiou
2019,2019-01,09/01/2019,Maïs Importé,Ourossogui
2019,2019-01,09/01/2019,Maïs Importé,Touba
2019,2019-01,09/01/2019,Sorgho Importé,Ourossogui
2019,2019-01,09/01/2019,Riz Importé,Ourossogui
2019,2019-01,09/01/2019,Riz Importé,Touba
2019,2019-01,09/01/2019,Riz Importé,Sédhiou
2019,2019-01,09/01/2019,Riz Importé Parfumé,Touba
2019,2019-01,09/01/2019,Riz Importé Parfumé,Sédhiou
2019,2019-01,09/01/2019,Riz,Ourossogui
2019,2019-01,09/01/2019,Riz,Touba
2019,2019-01,08/01/2019,Mil,Bignona
2019,2019-01,08/01/2019,Sorgho,Bignona
2019,2019-01,08/01/2019,Maïs,Bignona
2019,2019-01,08/01/2019,Riz Importé,Bignona
2019,2019-01,07/01/2019,Mil,Mereto
2019,2019-01,07/01/2019,Mil,Kolda
2019,2019-01,07/01/2019,Mil,Saint-Louis
2019,2019-01,07/01/2019,Mil,Kaffrine
2019,2019-01,07/01/2019,Sorgho,Mereto
2019,2019-01,07/01/2019,Sorgho,Kolda
2019,2019-01,07/01/2019,Sorgho,Kaffrine
2019,2019-01,07/01/2019,Maïs,Mereto
2019,2019-01,07/01/2019,Maïs,Kolda
2019,2019-01,07/01/2019,Maïs,Saint-Louis
2019,2019-01,07/01/2019,Maïs,Kaffrine
2019,2019-01,07/01/2019,Maïs Importé,Saint-Louis
2019,2019-01,07/01/2019,Sorgho Importé,Saint-Louis
2019,2019-01,07/01/2019,Riz Importé,Mereto
2019,2019-01,07/01/2019,Riz Importé,Kolda
2019,2019-01,07/01/2019,Riz Importé,Saint-Louis
2019,2019-01,07/01/2019,Riz Importé,Kaffrine
2019,2019-01,07/01/2019,Riz Importé Parfumé,Mereto
2019,2019-01,07/01/2019,Riz Importé Parfumé,Kolda
2019,2019-01,07/01/2019,Riz Importé Parfumé,Saint-Louis
2019,2019-01,07/01/2019,Riz Importé Parfumé,Kaffrine
2019,2019-01,07/01/2019,Riz,Kolda
2019,2019-01,07/01/2019,Riz,Saint-Louis
2019,2019-01,06/01/2019,Mil,Fatick
2019,2019-01,06/01/2019,Mil,Birkilane
2019,2019-01,06/01/2019,Sorgho,Fatick
2019,2019-01,06/01/2019,Sorgho,Birkilane
2019,2019-01,06/01/2019,Maïs,Fatick
2019,2019-01,06/01/2019,Maïs,Birkilane
2019,2019-01,06/01/2019,Maïs Importé,Fatick
2019,2019-01,06/01/2019,Riz Importé,Fatick
2019,2019-01,06/01/2019,Riz Importé,Birkilane
2019,2019-01,06/01/2019,Riz Importé Parfumé,Fatick
2019,2019-01,06/01/2019,Riz Importé Parfumé,Birkilane
2019,2019-01,05/01/2019,Mil,Touba Mouride
2019,2019-01,05/01/2019,Mil,Passy
2019,2019-01,05/01/2019,Sorgho,Passy
2019,2019-01,05/01/2019,Maïs,Touba Mouride
2019,2019-01,05/01/2019,Maïs,Passy
2019,2019-01,05/01/2019,Maïs Importé,Passy
2019,2019-01,05/01/2019,Riz Importé,Touba Mouride
2019,2019-01,05/01/2019,Riz Importé,Passy
2019,2019-01,05/01/2019,Riz Importé Parfumé,Passy
2019,2019-01,04/01/2019,Mil,Tilene
2019,2019-01,04/01/2019,Mil,Thiaroye
2019,2019-01,04/01/2019,Mil,Mpal
2019,2019-01,04/01/2019,Mil,Porokhane
2019,2019-01,04/01/2019,Maïs,Tilene
2019,2019-01,04/01/2019,Maïs,Thiaroye
2019,2019-01,04/01/2019,Maïs,Mpal
2019,2019-01,04/01/2019,Maïs,Porokhane
2019,2019-01,04/01/2019,Maïs Importé,Tilene
2019,2019-01,04/01/2019,Maïs Importé,Thiaroye
2019,2019-01,04/01/2019,Maïs Importé,Mpal
2019,2019-01,04/01/2019,Sorgho Importé,Tilene
2019,2019-01,04/01/2019,Sorgho Importé,Thiaroye
2019,2019-01,04/01/2019,Sorgho Importé,Mpal
2019,2019-01,04/01/2019,Riz Importé,Tilene
2019,2019-01,04/01/2019,Riz Importé,Thiaroye
